Manufacturer,Model,Model Year,Battery Capacity kWh,Charging Rate Level 2 (kW),Charging Rate DC Fast (kW),Plug Type,Autocharge Support,Emergency Release Location,Plug Type Source,Autocharge Support Source,Emergency Release Location Source,Region,Vehicle Type
Jaecoo,5 EV,2024,58.9,11.0,130.0,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Leapmotor,T03,2024,36.0,6.6,,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Chinesischer Hersteller - Owner's Manual konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Kia,Passenger,2024,71.2,11.0,150.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Electrify Europe, Ionity, Shell Recharge",Kofferraum rechts (E-GMP): Kunststoffkappe abziehen,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,Kia EV6/EV9 Technical Documentation | Kia Charging Services | Ionity High-Speed Charging | Shell Recharge EU Network,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
BMW,iX3,2024,74.0,11.0,155.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) via BMW ChargeNow | Netzwerke: BMW ChargeNow, Electrify Europe, Ionity","Kofferraum rechte Seite: Verkleidung abnehmen, Notentriegelungshebel",IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,BMW i3/i4/iX Technical Documentation | BMW ChargeNow Service | NewMotion Partnership EU | Ionity Coverage Maps,BMW iX Betriebsanleitung | BMW Service Portal | EV-Database Instructions,EU,BEV
Volvo,EX30 Single Motor ER,2024,65.0,11.0,158.0,Type 2 + CCS2,"Ja - Plug & Charge (neuere Modelle) | Netzwerke: Electrify Europe, Ionity","Kofferraum links: Kappe abhebeln, Hebel darunter ziehen",IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,Volvo XC40 Recharge Owner Manual | Volvo Charging Integration | EU Charging Network Partnerships,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Hyundai,IONIQ 5RWD,2024,84.0,11.0,263.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Electrify Europe, Ionity, Shell Recharge",Kofferraum rechts: Runde Kunststoffkappe abziehen,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,Hyundai Ioniq 5/6 Owner Manual | Hyundai Charging Service | Ionity High-Speed Network | Shell Recharge Partnership,Hyundai Ioniq 5 Owner Manual | E-GMP Platform Specification | Hyundai Service Portal EU,EU,BEV
Volkswagen,e-Golf,2024,32.0,7.2,,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Electrify Europe (NewMotion), Ionity",Kofferraum Beifahrerseite: Gelbe Notentriegelungsschlaufe,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,Volkswagen ID. Family Owner Manual | VW ChargeConnect Integration | NewMotion (Electrify Europe) Partnership | Ionity Coverage Maps,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU + US,BEV
Renault,Megane E-Tech EV60,2024,60.0,22.0,129.0,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Kia,EV5,2024,81.4,11.0,150.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Electrify Europe, Ionity, Shell Recharge",Kofferraum rechts (E-GMP): Kunststoffkappe abziehen,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,Kia EV6/EV9 Technical Documentation | Kia Charging Services | Ionity High-Speed Charging | Shell Recharge EU Network,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Kia,Hatchback,2024,81.4,11.0,135.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Electrify Europe, Ionity, Shell Recharge",Kofferraum rechts (E-GMP): Kunststoffkappe abziehen,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,Kia EV6/EV9 Technical Documentation | Kia Charging Services | Ionity High-Speed Charging | Shell Recharge EU Network,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Lynk&Co,02,2024,62.0,11.0,150.0,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Hyundai,Kona Electric,2024,65.0,11.0,105.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Electrify Europe, Ionity, Shell Recharge",Kofferraum rechts (E-GMP): Kunststoffkappe abziehen,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,Hyundai Ioniq 5/6 Owner Manual | Hyundai Charging Service | Ionity High-Speed Network | Shell Recharge Partnership,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU + US,BEV
Zeekr,7GT,2024,96.0,22.0,,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Mazda,6e,2024,68.8,11.0,200.0,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Audi,e-tron 55,2024,86.5,11.0,155.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) via NewMotion | Netzwerke: NewMotion (Electrify Europe), Ionity, Shell Recharge",Motorhaube: Kleine Klappe direkt über Ladeanschluss,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,Audi e-tron/Q4 Technical Documentation | Audi ChargeConnect Platform | NewMotion Partnership Docs | Ionity High-Speed Charging Network,Audi e-tron Betriebsanleitung | Audi Service Portal | EV-Database Emergency Release Instructions | Audi Community Forum EU,EU,BEV
Mercedes-Benz,EQS 450+,2024,118.0,11.0,200.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Mercedes me Charge, Electrify Europe, Ionity","Kofferraum Beifahrerseite: Verkleidung abnehmen, Seil ziehen",IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,Mercedes EQC/EQE/EQS Owner Manual | Mercedes-Benz Charging Solutions | Shell Recharge Partnership | Ionity Coverage,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU + US,BEV
BMW,iX1 xDrive30,2024,64.7,11.0,128.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) via BMW ChargeNow | Netzwerke: BMW ChargeNow, Electrify Europe, Ionity","Kofferraum rechte Seite: Verkleidung abnehmen, Notentriegelungshebel",IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,BMW i3/i4/iX Technical Documentation | BMW ChargeNow Service | NewMotion Partnership EU | Ionity Coverage Maps,BMW iX Betriebsanleitung | BMW Service Portal | EV-Database Instructions,EU,BEV
BMW,i4 eDrive40,2024,80.7,11.0,207.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) via BMW ChargeNow | Netzwerke: BMW ChargeNow, Electrify Europe, Ionity",⚠️ KEIN mechanischer Notentriegelungsmechanismus,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,BMW i3/i4/iX Technical Documentation | BMW ChargeNow Service | NewMotion Partnership EU | Ionity Coverage Maps,BMW i4 Owner Manual | BMW Service Documentation | EV-Database Specification,EU,BEV
Mercedes-Benz,EQC 400 4MATIC,2024,80.0,11.0,112.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Mercedes me Charge, Electrify Europe, Ionity","Kofferraum Beifahrerseite: Verkleidung abnehmen, Seil ziehen",IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,Mercedes EQC/EQE/EQS Owner Manual | Mercedes-Benz Charging Solutions | Shell Recharge Partnership | Ionity Coverage,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Toyota,C-HR+,2024,77.0,11.0,150.0,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Zeekr,7X,2024,96.0,22.0,150.0,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
BYD,SEAL,2024,82.5,11.0,150.0,Type 2 + CCS2,Nein | Netzwerke: N/A,Dokumentation begrenzt - Hersteller kontaktieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,BYD Yuan Plus/Seagull EU Documentation | Limited EU charging network integration,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Renault,Scenic E-Tech EV87,2024,87.0,22.0,150.0,Type 2 + CCS2,Unbekannt - Hersteller nicht in Datenbank,Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU,BEV
Volkswagen,ID.4,2024,77.0,11.0,175.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Electrify Europe (NewMotion), Ionity",Kofferraum Beifahrerseite: Gelbe Schlaufe,IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,Volkswagen ID. Family Owner Manual | VW ChargeConnect Integration | NewMotion (Electrify Europe) Partnership | Ionity Coverage Maps,Volkswagen ID. Betriebsanleitung | VW Service Portal DE | EV-Database MEB Platform Guide | VW Owner Forums EU,EU,BEV
Mercedes-Benz,EQB 250+,2024,70.5,11.0,102.0,Type 2 + CCS2,"Ja - Plug & Charge (ab MY2023) | Netzwerke: Mercedes me Charge, Electrify Europe, Ionity","Kofferraum Beifahrerseite: Verkleidung abnehmen, Seil ziehen",IEC 62196-2 Type 2 AC (Mennekes) + CCS2 (Combined Charging System) | AFDC EU Reference | EV-Database Specification | EU Charging Directive 2014/94/EU,Mercedes EQC/EQE/EQS Owner Manual | Mercedes-Benz Charging Solutions | Shell Recharge Partnership | Ionity Coverage,"EV-Database EU Vehicle Database | Fahrzeug-Betriebsanleitung (konsultieren) | Pannendienst kontaktieren (ADAC, ÖAC, TCS)",EU + US,BEV
