# EV CHARGING DATABASE — EU+US 2024/2025
# Format: Region|Type|Model|Year|Battery(kWh)|AC_kW|DC_kW|Plug|Autocharge:Y/N/P/?|Emergency:…
# Autocharge: Y=yes N=no P=partial ?=unknown | Type: BEV=Battery Electric PHEV=Plug-in Hybrid | '-'=data unavailable

## ABARTH
EU|PHEV|Tonale eAWD|2025|15.5kWh|AC:6.6kW|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Betriebsanleitung konsultieren
EU|BEV|Junior Elettrica|2024|54kWh|AC:7.2kW|DC:100kW|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
EU|BEV|Junior ElettricaVeloce|2024|54kWh|AC:7.2kW|DC:100kW|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
EU|PHEV|Tonale eAWD|2024|15kWh|AC:11kW|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Betriebsanleitung konsultieren
US|BEV|Tonale eAWD|2025|15.5kWh|AC:11kW|DC:-|J1772 (AC only)|Autocharge:N|Emergency:PHEV (Tonale): Fahrzeug mit Schlüssel/App entriegeln – Type-2/J1772-Kabel gibt automatisch frei. Kein separater Notmechanismus.
US|BEV|Tonale eAWD|2024|15kWh|AC:11kW|DC:-|J1772 (AC only)|Autocharge:N|Emergency:PHEV (Tonale): Fahrzeug mit Schlüssel/App entriegeln – Type-2/J1772-Kabel gibt automatisch frei. Kein separater Notmechanismus.
## ALPINE
EU|BEV|A290 Electric|2024|52kWh|AC:11kW|DC:100kW|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
EU|BEV|A390 GTS|2024|-|AC:22kW|DC:-|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
EU|BEV|A390|2024|-|AC:22kW|DC:-|Type 2 + CCS2|Autocharge:?|Emergency:Nicht dokumentiert – Owner's Manual des Fahrzeugs konsultieren
## AUDI
EU|PHEV|A4 quattro/S-Line/Allroad|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A5 Sportback quattro|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A6 quattro|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A6 quattro/Allroad|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A7 quattro|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A8 quattro|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q4 45 e-tron|2025|81.6kWh|AC:11kW|DC:150kW|Type 2 + CCS2|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q4 55 e-tron quattro|2025|81.6kWh|AC:11kW|DC:150kW|Type 2 + CCS2|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q5 Plug-In Hybrid quattro|2025|18kWh|AC:7.4kW|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q5 quattro/Sportback/S-Line|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q6 e-tron|2025|100.2kWh|AC:11kW|DC:270kW|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q6 e-tron quattro|2025|100kWh|AC:11kW|DC:270kW|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q7|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q8 e-tron quattro|2025|114.3kWh|AC:11kW|DC:170kW|Type 2 + CCS2|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q8 quattro|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|RS 6 Avant|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|RS7|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|RS Q8 Performance|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|S6|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|S7|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|S8|2025|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|S e-tron GT|2025|105kWh|AC:22kW|DC:320kW|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|SQ6 e-tron|2025|100kWh|AC:22kW|DC:270kW|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|SQ8 e-tron|2025|114.3kWh|AC:11kW|DC:170kW|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|BEV|e-tron 55|2024|86.5kWh|AC:11kW|DC:155kW|Type 2 + CCS2|Autocharge:Y|Emergency:Motorhaube: Kleine Klappe direkt über Ladeanschluss
EU|BEV|A6 Avant e-tron|2024|94.9kWh|AC:11kW|DC:269kW|Type 2 + CCS2|Autocharge:Y|Emergency:Motorhaube: Kleine Klappe direkt über Ladeanschluss
EU|BEV|A6 Sportback e-tron|2024|94.9kWh|AC:11kW|DC:269kW|Type 2 + CCS2|Autocharge:Y|Emergency:Motorhaube: Kleine Klappe direkt über Ladeanschluss
EU|BEV|e-tron 50|2024|64.7kWh|AC:11kW|DC:120kW|Type 2 + CCS2|Autocharge:Y|Emergency:Motorhaube: Kleine Klappe direkt über Ladeanschluss
EU|BEV|Q6 SUV e-tron|2024|94.9kWh|AC:11kW|DC:269kW|Type 2 + CCS2|Autocharge:Y|Emergency:Motorhaube: Kleine Klappe direkt über Ladeanschluss
EU|BEV|Q8 SUV e-tron 55|2024|106kWh|AC:11kW|DC:168kW|Type 2 + CCS2|Autocharge:Y|Emergency:Motorhaube: Kleine Klappe direkt über Ladeanschluss
EU|BEV|Q4 e-tron 50|2024|71.2kWh|AC:11kW|DC:135kW|Type 2 + CCS2|Autocharge:Y|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden, links Seite
EU|BEV|Q4 e-tron 55|2024|95kWh|AC:11kW|DC:135kW|Type 2 + CCS2|Autocharge:Y|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden, links Seite
EU|BEV|S6 Avant e-tron|2024|95kWh|AC:11kW|DC:155kW|Type 2 + CCS2|Autocharge:Y|Emergency:Motorhaube: Kleine Klappe direkt über Ladeanschluss
EU|BEV|Q6 Sportback e-tron|2024|95kWh|AC:11kW|DC:155kW|Type 2 + CCS2|Autocharge:Y|Emergency:Motorhaube: Kleine Klappe direkt über Ladeanschluss
EU|BEV|e-tron Sportback 55|2024|95kWh|AC:11kW|DC:155kW|Type 2 + CCS2|Autocharge:Y|Emergency:Motorhaube: Kleine Klappe direkt über Ladeanschluss
EU|BEV|RS e-tron|2024|95kWh|AC:11kW|DC:155kW|Type 2 + CCS2|Autocharge:Y|Emergency:Motorhaube: Kleine Klappe direkt über Ladeanschluss
EU|BEV|Q8 Sportback e-tron 55|2024|95kWh|AC:11kW|DC:155kW|Type 2 + CCS2|Autocharge:Y|Emergency:Motorhaube: Kleine Klappe direkt über Ladeanschluss
EU|BEV|Q4 Sportback e-tron|2024|95kWh|AC:11kW|DC:135kW|Type 2 + CCS2|Autocharge:Y|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden, links Seite
EU|BEV|SQ6 SUV e-tron|2024|94.9kWh|AC:11kW|DC:155kW|Type 2 + CCS2|Autocharge:Y|Emergency:Motorhaube: Kleine Klappe direkt über Ladeanschluss
EU|BEV|Q8 SUV e-tron 50|2024|71.2kWh|AC:11kW|DC:155kW|Type 2 + CCS2|Autocharge:Y|Emergency:Motorhaube: Kleine Klappe direkt über Ladeanschluss
EU|BEV|S e-tron|2024|95kWh|AC:11kW|DC:155kW|Type 2 + CCS2|Autocharge:Y|Emergency:Motorhaube: Kleine Klappe direkt über Ladeanschluss
EU|BEV|S6 Sportback e-tron|2024|94.9kWh|AC:11kW|DC:155kW|Type 2 + CCS2|Autocharge:Y|Emergency:Motorhaube: Kleine Klappe direkt über Ladeanschluss
EU|BEV|e-tron S Sportback|2024|95kWh|AC:11kW|DC:155kW|Type 2 + CCS2|Autocharge:Y|Emergency:Motorhaube: Kleine Klappe direkt über Ladeanschluss
EU|BEV|Q4 e-tron 45|2024|95kWh|AC:11kW|DC:135kW|Type 2 + CCS2|Autocharge:Y|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden, links Seite
EU|BEV|e-tron Sportback 50|2024|95kWh|AC:11kW|DC:155kW|Type 2 + CCS2|Autocharge:Y|Emergency:Motorhaube: Kleine Klappe direkt über Ladeanschluss
EU|BEV|Q4 Sportback e-tron 45|2024|95kWh|AC:11kW|DC:135kW|Type 2 + CCS2|Autocharge:Y|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden, links Seite
EU|BEV|SQ6 Sportback e-tron|2024|94.9kWh|AC:11kW|DC:155kW|Type 2 + CCS2|Autocharge:Y|Emergency:Motorhaube: Kleine Klappe direkt über Ladeanschluss
EU|BEV|Q4 Sportback e-tron 55|2024|95kWh|AC:11kW|DC:135kW|Type 2 + CCS2|Autocharge:Y|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden, links Seite
EU|BEV|Q4 Sportback e-tron 50|2024|71.2kWh|AC:11kW|DC:135kW|Type 2 + CCS2|Autocharge:Y|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden, links Seite
EU|BEV|SQ8 Sportback e-tron|2024|114kWh|AC:11kW|DC:155kW|Type 2 + CCS2|Autocharge:Y|Emergency:Motorhaube: Kleine Klappe direkt über Ladeanschluss
EU|BEV|SQ8 SUV e-tron|2024|114kWh|AC:11kW|DC:155kW|Type 2 + CCS2|Autocharge:Y|Emergency:Motorhaube: Kleine Klappe direkt über Ladeanschluss
EU|BEV|Q8 Sportback e-tron 50|2024|71.2kWh|AC:11kW|DC:155kW|Type 2 + CCS2|Autocharge:Y|Emergency:Motorhaube: Kleine Klappe direkt über Ladeanschluss
EU|PHEV|A3|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A3 quattro|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A4 quattro/S-Line/Allroad|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A5 quattro Coupe/Cabriolet/Sportback|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A6 quattro|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A6 quattro/Allroad|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A7 quattro|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A8 quattro|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|e-tron GT/RS e-tron GT|2024|93kWh|AC:9.6kW|DC:270kW|Type 2 + CCS2|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q4 40 e-tron|2024|82kWh|AC:11kW|DC:125kW|Type 2 + CCS2|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q4 50 e-tron quattro|2024|82kWh|AC:11kW|DC:125kW|Type 2 + CCS2|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q4 55 e-tron quattro|2024|82.4kWh|AC:11kW|DC:125kW|Type 2 + CCS2|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q5 quattro/Sportback/S-Line|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q7 quattro|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q8 e-tron quattro|2024|114kWh|AC:11kW|DC:125kW|Type 2 + CCS2|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q8 quattro|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q8 Sportback e-tron quattro|2024|114kWh|AC:11kW|DC:170kW|Type 2 + CCS2|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q8 Sportback e-tron ultra quattro|2024|114kWh|AC:11kW|DC:125kW|Type 2 + CCS2|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|RS 6 Avant|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|RS7|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|RS Q8|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|S3|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|S6|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|S7|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|S8|2024|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|SQ8 e-tron/Sportback e-tron|2024|114kWh|AC:11kW|DC:170kW|Type 2 (AC only)|Autocharge:P|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A3|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A3 quattro|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A4 quattro|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A5 quattro|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A6 quattro|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A6 quattro/Allroad|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A7|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A8L|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|e-tron GT/RS e-tron GT|2023|95kWh|AC:9.6kW|DC:270kW|Type 2 + CCS2|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|e-tron quattro/S|2023|95kWh|AC:9.6kW|DC:150kW|Type 2 + CCS2|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|e-tron Sportback/S Sportback|2023|95kWh|AC:9.6kW|DC:150kW|Type 2 + CCS2|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q4 e-tron|2023|82kWh|AC:11kW|DC:125kW|Type 2 + CCS2|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q4 e-tron quattro|2023|95kWh|AC:11kW|DC:125kW|Type 2 + CCS2|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q4 e-tron Sportback|2023|82kWh|AC:11kW|DC:125kW|Type 2 + CCS2|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q5 quattro|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q5 TFSI e|2023|17kWh|AC:7.4kW|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q7|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|Q8|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|RS 6 Avant|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|RS7|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|RS Q8|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|S6|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|S7|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|S8|2023|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A3|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A3 quattro|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A4 allroad quattro|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A4 quattro|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A4 S line quattro|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A5 Cabriolet quattro|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A5 Coupe quattro|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A5 Sportback quattro|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A5 Sportback S line quattro|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A6 Allroad quattro|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A6 quattro|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A7 quattro|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A7 TFSI e quattro|2022|17.9kWh|AC:7.4kW|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|A8L quattro|2022|-|AC:-|DC:-|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|e-tron GT|2022|85kWh|AC:11kW|DC:270kW|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|e-tron quattro|2022|95kWh|AC:11kW|DC:150kW|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|e-tron S (20" wheels)|2022|95kWh|AC:11kW|DC:150kW|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
EU|PHEV|e-tron S (21" or 22" wheels)|2022|95kWh|AC:11kW|DC:150kW|Type 2 (AC only)|Autocharge:N|Emergency:Kofferraum: Gelbe Schlaufe unter Ladeboden (MEB/MLB Plattform)
